gene	UMRR_1_GG	UMRR_2_GG	UMRR_3_GG	LVR_1_GG	LVR_2_GG	LVR_3_GG
ENSMUSG00000102851.1	0	1	0	0	0	0
ENSMUSG00000025902.13	0	0	0	2	0	0
ENSMUSG00000098104.1	9	15	21	7	3	1
ENSMUSG00000103922.1	0	1	1	0	2	0
ENSMUSG00000033845.13	43	47	37	74	58	37
ENSMUSG00000025903.14	12	15	17	41	70	84
ENSMUSG00000104217.1	0	1	2	3	2	0
ENSMUSG00000033813.15	35	44	44	19	51	5
ENSMUSG00000062588.4	1	2	1	0	0	0
ENSMUSG00000091305.1	0	1	0	0	2	0
ENSMUSG00000102653.1	0	1	0	0	0	0
ENSMUSG00000033793.12	23	18	21	26	15	14
ENSMUSG00000002459.17	1	8	1	2	0	0
ENSMUSG00000025905.13	0	1	0	0	0	0
ENSMUSG00000025907.14	28	28	34	21	37	14
ENSMUSG00000090031.2	0	2	1	0	0	1
ENSMUSG00000087247.3	0	0	1	0	0	0
ENSMUSG00000033740.17	0	4	0	0	0	0
ENSMUSG00000102135.1	15	17	10	5	3	2
ENSMUSG00000103629.1	0	1	0	0	0	0
ENSMUSG00000051285.17	12	15	6	25	28	31
ENSMUSG00000098201.1	1	0	0	0	0	0
ENSMUSG00000103509.1	0	0	0	0	0	1
ENSMUSG00000097797.6	0	0	2	0	0	0
ENSMUSG00000084353.1	0	2	1	0	0	0
ENSMUSG00000103933.1	0	0	1	0	0	0
ENSMUSG00000025909.16	1	0	0	0	1	0
ENSMUSG00000102272.1	0	0	1	0	0	0
ENSMUSG00000061024.8	11	10	17	2	3	1
ENSMUSG00000025911.14	0	1	0	27	22	12
ENSMUSG00000079671.8	0	4	2	0	0	1
ENSMUSG00000025912.16	14	6	6	1	1	0
ENSMUSG00000097893.8	0	0	0	2	3	0
ENSMUSG00000045210.8	15	22	13	15	13	9
ENSMUSG00000025915.14	3	2	5	3	3	3
ENSMUSG00000046334.4	1	0	0	0	0	0
ENSMUSG00000098234.7	28	34	25	6	5	5
ENSMUSG00000099032.2	0	0	0	0	4	3
ENSMUSG00000025916.10	0	0	0	1	1	0
ENSMUSG00000056763.16	21	18	6	7	10	2
ENSMUSG00000025917.9	37	47	38	23	32	14
ENSMUSG00000102356.1	0	0	0	0	1	0
ENSMUSG00000102556.1	0	5	0	0	0	0
ENSMUSG00000067851.11	21	28	24	15	33	13
ENSMUSG00000042501.12	0	4	0	0	0	0
ENSMUSG00000103448.1	1	0	0	0	0	0
ENSMUSG00000048960.13	2	4	1	8	5	3
ENSMUSG00000057715.13	1	0	0	0	0	0
ENSMUSG00000016918.15	1	1	0	0	0	0
ENSMUSG00000025938.16	0	1	0	0	0	0
ENSMUSG00000104518.1	0	1	0	0	0	0
ENSMUSG00000069620.6	0	1	0	0	0	0
ENSMUSG00000103506.1	1	2	1	0	0	0
ENSMUSG00000103495.1	0	0	0	0	0	1
ENSMUSG00000103085.1	0	0	2	0	0	0
ENSMUSG00000102664.1	0	4	0	0	0	0
ENSMUSG00000005886.14	8	8	6	3	5	17
ENSMUSG00000025935.10	113	135	119	186	107	68
ENSMUSG00000102982.1	0	0	2	4	0	0
ENSMUSG00000025937.6	10	13	14	50	113	73
ENSMUSG00000067813.3	0	0	0	2	0	3
ENSMUSG00000097711.1	0	1	0	0	0	0
ENSMUSG00000082193.1	1	5	2	0	1	0
ENSMUSG00000032769.5	1	2	1	0	0	0
ENSMUSG00000073737.3	2	0	1	0	2	0
ENSMUSG00000025925.14	11	14	11	3	10	6
ENSMUSG00000104379.1	0	0	1	0	0	0
ENSMUSG00000043716.13	204	244	176	46	36	31
ENSMUSG00000025921.7	16	18	9	9	22	13
ENSMUSG00000089982.7	0	1	0	0	0	0
ENSMUSG00000025920.19	3	13	9	5	1	0
ENSMUSG00000025939.17	22	28	26	8	10	10
ENSMUSG00000079658.9	137	132	119	53	53	31
ENSMUSG00000097744.1	1	0	0	0	0	0
ENSMUSG00000025940.6	17	15	15	18	15	10
ENSMUSG00000025779.10	5	0	9	2	0	1
ENSMUSG00000101640.1	0	0	0	0	1	0
ENSMUSG00000042686.5	5	1	1	2	1	3
ENSMUSG00000101589.1	0	2	1	0	0	0
ENSMUSG00000067780.3	0	0	0	0	1	0
ENSMUSG00000100053.1	1	0	0	0	0	0
ENSMUSG00000025776.13	0	1	0	0	0	0
ENSMUSG00000067773.6	1	3	4	0	0	0
ENSMUSG00000043760.16	1	0	0	0	0	0
ENSMUSG00000099906.2	0	0	1	0	0	0
ENSMUSG00000041859.10	24	45	31	1	0	1
ENSMUSG00000097934.1	0	1	0	0	0	0
ENSMUSG00000025931.15	0	0	1	0	0	1
ENSMUSG00000041809.5	0	1	0	0	0	0
ENSMUSG00000041779.5	9	17	19	16	10	2
ENSMUSG00000025933.15	1	3	0	4	1	0
ENSMUSG00000025934.15	9	9	14	617	600	907
ENSMUSG00000099343.1	0	0	0	2	0	1
ENSMUSG00000025936.15	0	0	0	0	0	1
ENSMUSG00000082935.3	14	23	14	1	1	3
ENSMUSG00000028033.16	1	0	1	1	0	1
ENSMUSG00000100775.1	1	0	0	0	0	0
ENSMUSG00000026158.11	10	10	9	6	6	7
ENSMUSG00000026156.8	0	1	0	0	0	0
ENSMUSG00000026155.13	39	35	30	23	26	12
ENSMUSG00000026154.4	22	35	19	32	16	27
ENSMUSG00000026153.15	7	10	6	1	5	1
ENSMUSG00000102398.1	0	1	0	0	0	0
ENSMUSG00000026141.13	0	0	0	0	1	0
ENSMUSG00000100131.1	0	0	0	1	1	0
ENSMUSG00000067736.2	0	0	0	1	0	0
ENSMUSG00000101939.1	16	28	12	0	0	2
ENSMUSG00000101111.1	1	0	0	2	0	3
ENSMUSG00000100862.1	0	1	1	1	0	5
ENSMUSG00000102070.1	1	1	0	1	1	4
ENSMUSG00000101249.1	1	1	1	0	2	1
ENSMUSG00000073725.8	12	11	10	23	15	17
ENSMUSG00000103209.1	0	1	0	0	0	0
ENSMUSG00000104221.1	0	0	1	0	0	0
ENSMUSG00000102386.1	0	0	2	0	0	0
ENSMUSG00000073722.3	1	0	0	0	0	0
ENSMUSG00000100310.1	0	0	0	0	1	0
ENSMUSG00000101514.1	0	0	0	1	4	5
ENSMUSG00000101033.1	0	0	0	1	0	0
ENSMUSG00000086240.4	3	2	0	2	1	0
ENSMUSG00000081557.2	0	1	0	0	0	0
ENSMUSG00000103783.1	0	0	3	0	0	0
ENSMUSG00000104315.1	1	5	4	0	0	0
ENSMUSG00000048874.15	14	30	27	9	13	9
ENSMUSG00000117310.1	4	3	2	7	7	7
ENSMUSG00000070960.4	0	1	0	1	0	0
ENSMUSG00000088620.1	0	0	0	0	1	0
ENSMUSG00000064688.1	1	0	0	0	0	0
ENSMUSG00000100481.1	0	1	0	0	0	1
ENSMUSG00000102714.1	1	0	0	0	0	0
ENSMUSG00000026134.11	2	4	1	0	2	1
ENSMUSG00000103746.1	1	0	0	0	0	0
ENSMUSG00000102198.1	1	0	0	0	0	0
ENSMUSG00000004768.14	8	7	2	5	3	0
ENSMUSG00000042215.8	8	13	8	0	0	2
ENSMUSG00000042197.13	19	15	18	2	7	3
ENSMUSG00000081402.4	0	0	1	0	0	0
ENSMUSG00000042182.16	0	6	2	1	0	0
ENSMUSG00000026131.18	47	80	70	12	13	9
ENSMUSG00000103596.1	1	1	0	0	0	0
ENSMUSG00000103364.1	5	1	1	0	0	0
ENSMUSG00000096992.3	0	0	1	0	0	0
ENSMUSG00000102336.1	0	1	0	0	0	0
ENSMUSG00000042111.9	11	9	9	2	3	3
ENSMUSG00000026127.13	20	24	11	6	7	3
ENSMUSG00000026126.15	13	12	7	4	1	0
ENSMUSG00000100280.2	0	1	0	0	0	0
ENSMUSG00000101803.1	1	0	0	0	0	0
ENSMUSG00000037509.20	0	1	2	0	0	0
ENSMUSG00000104358.1	0	1	0	0	0	0
ENSMUSG00000037503.12	19	31	21	3	9	4
ENSMUSG00000026123.11	12	21	11	4	3	1
ENSMUSG00000103548.1	1	0	2	0	1	0
ENSMUSG00000103760.1	0	1	0	1	0	0
ENSMUSG00000045216.7	5	8	6	14	26	8
ENSMUSG00000104523.1	0	0	0	0	1	0
ENSMUSG00000037470.14	12	25	13	27	15	8
ENSMUSG00000047180.8	0	2	1	2	0	0
ENSMUSG00000037447.16	1	5	0	1	0	2
ENSMUSG00000010453.12	7	15	4	4	2	3
ENSMUSG00000001143.13	12	10	18	6	8	4
ENSMUSG00000037408.10	5	14	10	3	6	0
ENSMUSG00000106081.1	0	1	0	0	0	0
ENSMUSG00000001138.13	9	5	5	4	3	2
ENSMUSG00000102845.1	0	1	1	0	0	0
ENSMUSG00000067653.12	5	3	6	0	0	0
ENSMUSG00000109510.1	1	3	2	0	0	0
ENSMUSG00000079610.9	2	3	2	2	0	1
ENSMUSG00000026121.13	3	1	6	1	2	1
ENSMUSG00000089906.1	1	0	0	0	0	0
ENSMUSG00000077939.1	1	1	0	0	0	0
ENSMUSG00000046337.17	0	0	1	0	0	0
ENSMUSG00000061518.11	111	132	87	116	111	66
ENSMUSG00000037351.9	7	21	20	10	10	5
ENSMUSG00000026117.10	2	3	3	9	7	8
ENSMUSG00000102930.1	0	1	1	0	0	0
ENSMUSG00000026116.11	11	13	14	4	5	0
ENSMUSG00000026113.17	14	14	17	14	6	3
ENSMUSG00000026112.7	18	14	12	11	8	7
ENSMUSG00000026111.15	38	24	29	15	15	7
ENSMUSG00000026110.15	6	5	4	1	0	0
ENSMUSG00000089767.1	0	0	1	0	0	0
ENSMUSG00000026090.16	8	4	11	0	0	0
ENSMUSG00000097268.1	0	1	0	0	0	0
ENSMUSG00000060771.14	5	8	2	4	1	0
ENSMUSG00000037216.5	2	2	2	0	2	0
ENSMUSG00000026088.15	16	20	11	4	8	3
ENSMUSG00000026087.11	112	149	82	59	35	27
ENSMUSG00000058407.12	69	84	62	34	23	9
ENSMUSG00000026083.12	129	135	85	44	79	16
ENSMUSG00000026082.11	6	15	14	1	2	2
ENSMUSG00000102716.1	0	1	0	0	0	0
ENSMUSG00000085391.1	0	1	0	0	0	0
ENSMUSG00000037138.17	7	4	2	0	1	0
ENSMUSG00000026078.10	38	56	41	12	11	11
ENSMUSG00000026077.15	1	0	0	1	6	0
ENSMUSG00000073702.11	180	196	166	39	39	26
