gene	UMRR_1_GL	UMRR_2_GL	UMRR_3_GL	LVR_1_GL	LVR_2_GL	LVR_3_GL
ENSMUSG00000000001.4	29	29	25	18	30	23
ENSMUSG00000000028.15	8	10	7	0	0	0
ENSMUSG00000000031.16	13	14	10	0	0	0
ENSMUSG00000000049.11	3	2	1	499	546	273
ENSMUSG00000000056.7	6	10	7	8	9	2
ENSMUSG00000000058.6	40	25	19	1	0	2
ENSMUSG00000000078.7	28	33	37	7	3	3
ENSMUSG00000000085.16	5	11	8	2	2	0
ENSMUSG00000000088.7	77	65	44	95	96	55
ENSMUSG00000000093.6	0	0	1	0	1	0
ENSMUSG00000000094.12	0	0	0	0	0	1
ENSMUSG00000000126.11	0	2	1	1	0	0
ENSMUSG00000000127.15	19	19	20	3	4	4
ENSMUSG00000000131.15	5	13	7	4	4	2
ENSMUSG00000000134.17	11	17	16	5	1	4
ENSMUSG00000000142.15	2	4	5	2	2	2
ENSMUSG00000000148.17	3	8	3	2	2	0
ENSMUSG00000000149.10	3	7	3	15	19	13
ENSMUSG00000000154.16	0	1	0	24	34	10
ENSMUSG00000000159.16	0	0	0	6	3	2
ENSMUSG00000000168.9	15	27	14	14	14	13
ENSMUSG00000000171.5	30	36	43	68	55	60
ENSMUSG00000000184.12	183	173	105	24	7	12
ENSMUSG00000000194.13	10	16	11	1	3	3
ENSMUSG00000000197.8	1	0	0	0	0	0
ENSMUSG00000000204.16	3	2	3	0	0	0
ENSMUSG00000000214.11	0	0	0	7	0	0
ENSMUSG00000000223.13	0	0	1	0	0	0
ENSMUSG00000000244.17	17	11	9	0	0	0
ENSMUSG00000000247.11	0	0	0	1	0	1
ENSMUSG00000000248.16	1	0	0	0	0	0
ENSMUSG00000000253.13	4	5	3	1	0	0
ENSMUSG00000000266.11	0	1	3	2	1	2
ENSMUSG00000000275.16	6	9	8	9	10	4
ENSMUSG00000000276.11	1	7	1	0	1	1
ENSMUSG00000000278.10	37	55	33	18	16	6
ENSMUSG00000000282.12	5	4	4	4	0	0
ENSMUSG00000000290.13	2	5	10	1	1	1
ENSMUSG00000000295.13	12	16	14	0	1	2
ENSMUSG00000000296.8	1	1	2	6	0	3
ENSMUSG00000000301.16	2	6	4	123	102	54
ENSMUSG00000000303.12	0	0	0	3	1	2
ENSMUSG00000000305.12	0	0	0	0	1	1
ENSMUSG00000000317.11	0	1	3	0	0	0
ENSMUSG00000000320.10	0	1	0	0	0	0
ENSMUSG00000000325.16	2	4	3	4	5	2
ENSMUSG00000000326.13	23	25	16	150	106	69
ENSMUSG00000000339.14	12	13	8	3	3	4
ENSMUSG00000000340.10	1	2	2	35	43	22
ENSMUSG00000000346.9	134	159	140	42	31	36
ENSMUSG00000000355.13	6	14	5	7	4	14
ENSMUSG00000000359.3	3	1	0	2	0	0
ENSMUSG00000000365.9	0	0	0	1	0	0
ENSMUSG00000000374.8	17	17	15	13	10	6
ENSMUSG00000000378.15	10	17	16	6	4	4
ENSMUSG00000000384.15	6	7	9	4	2	1
ENSMUSG00000000385.8	1	0	0	1	0	1
ENSMUSG00000000386.15	1	0	0	0	0	0
ENSMUSG00000000392.17	0	0	0	0	0	1
ENSMUSG00000000399.10	42	45	49	41	33	23
ENSMUSG00000000402.2	0	0	0	1	0	0
ENSMUSG00000000409.14	4	6	4	0	0	1
ENSMUSG00000000420.15	25	22	12	3	15	12
ENSMUSG00000000435.1	22	43	22	0	0	0
ENSMUSG00000000439.9	38	36	31	10	16	2
ENSMUSG00000000440.12	0	3	1	2	2	1
ENSMUSG00000000441.17	43	47	28	16	18	6
ENSMUSG00000000486.13	7	5	4	1	4	0
ENSMUSG00000000489.7	0	2	1	2	1	0
ENSMUSG00000000530.16	0	0	0	0	0	1
ENSMUSG00000000531.5	4	3	0	1	2	0
ENSMUSG00000000532.11	1	0	0	1	1	2
ENSMUSG00000000538.18	7	4	4	0	0	0
ENSMUSG00000000552.10	10	6	6	5	5	1
ENSMUSG00000000555.8	11	30	25	2	1	3
ENSMUSG00000000560.9	0	1	0	0	0	0
ENSMUSG00000000561.14	9	12	10	1	4	1
ENSMUSG00000000563.17	125	140	113	176	161	153
ENSMUSG00000000567.5	53	48	36	11	8	1
ENSMUSG00000000568.15	47	41	54	18	12	6
ENSMUSG00000000581.8	29	31	23	41	36	31
ENSMUSG00000000594.7	80	109	81	184	125	38
ENSMUSG00000000600.15	31	24	27	1	6	6
ENSMUSG00000000605.9	13	11	5	8	8	10
ENSMUSG00000000617.14	0	0	1	0	0	0
ENSMUSG00000000627.15	1	1	1	0	0	0
ENSMUSG00000000628.10	33	63	37	0	1	0
ENSMUSG00000000631.20	9	28	27	13	17	8
ENSMUSG00000000673.9	0	2	1	116	107	34
ENSMUSG00000000682.7	2	11	4	5	2	0
ENSMUSG00000000686.11	2	0	1	3	5	1
ENSMUSG00000000693.10	5	6	3	0	0	0
ENSMUSG00000000708.14	12	15	20	21	26	17
ENSMUSG00000000711.3	10	7	8	5	4	7
ENSMUSG00000000724.10	1	1	0	0	0	0
ENSMUSG00000000730.13	2	2	0	1	0	0
ENSMUSG00000000731.15	1	2	1	0	0	0
ENSMUSG00000000732.9	1	3	0	0	0	0
ENSMUSG00000000738.18	11	14	9	10	6	2
ENSMUSG00000000739.14	0	1	0	4	4	1
ENSMUSG00000000740.12	377	411	274	61	46	32
ENSMUSG00000000743.9	19	19	22	15	8	5
ENSMUSG00000000751.13	27	19	25	1	4	4
ENSMUSG00000000753.15	51	53	44	139	134	51
ENSMUSG00000000759.14	11	19	10	1	1	3
ENSMUSG00000000776.13	14	8	9	2	1	2
ENSMUSG00000000782.15	32	43	12	3	2	2
ENSMUSG00000000787.12	38	63	59	30	64	39
ENSMUSG00000000791.9	0	1	0	0	0	0
ENSMUSG00000000794.9	0	0	0	0	0	1
ENSMUSG00000000804.14	17	16	12	3	8	4
ENSMUSG00000000811.13	7	3	0	2	1	1
ENSMUSG00000000823.16	2	7	4	0	2	2
ENSMUSG00000000826.16	17	40	37	9	12	2
ENSMUSG00000000827.18	26	35	24	5	7	7
ENSMUSG00000000838.17	25	42	34	7	9	8
ENSMUSG00000000861.15	2	1	3	0	0	0
ENSMUSG00000000876.11	11	12	5	22	26	13
ENSMUSG00000000881.12	1	7	2	0	2	0
ENSMUSG00000000884.17	6	7	1	0	1	0
ENSMUSG00000000889.8	1	0	0	1	0	0
ENSMUSG00000000901.17	4	6	5	4	2	0
ENSMUSG00000000902.13	20	27	26	3	6	1
ENSMUSG00000000903.3	0	0	0	0	0	1
ENSMUSG00000000915.15	7	2	2	3	5	1
ENSMUSG00000000916.15	8	4	4	1	3	0
ENSMUSG00000000934.9	2	6	4	2	8	2
ENSMUSG00000000938.11	10	5	2	0	0	0
ENSMUSG00000000942.10	0	1	1	1	0	0
ENSMUSG00000000957.11	32	37	31	9	9	6
ENSMUSG00000000958.10	7	3	3	0	0	0
ENSMUSG00000000959.7	14	13	14	8	3	3
ENSMUSG00000000976.13	15	17	17	6	10	1
ENSMUSG00000000982.5	20	13	19	0	0	1
ENSMUSG00000001014.6	0	1	0	0	0	0
ENSMUSG00000001016.12	57	48	36	6	9	3
ENSMUSG00000001017.15	27	41	19	4	7	5
ENSMUSG00000001018.15	47	35	18	13	15	0
ENSMUSG00000001020.8	25	43	25	0	0	0
ENSMUSG00000001021.12	3	3	6	0	0	0
ENSMUSG00000001025.8	239	292	246	4	2	5
ENSMUSG00000001029.15	1	1	1	2	0	0
ENSMUSG00000001034.17	3	8	5	0	1	0
ENSMUSG00000001036.17	5	10	18	1	0	0
ENSMUSG00000001039.12	1	9	2	0	0	0
ENSMUSG00000001052.15	15	10	9	1	3	4
ENSMUSG00000001053.15	2	2	1	0	0	1
ENSMUSG00000001054.9	3	10	7	2	1	2
ENSMUSG00000001056.3	81	105	74	8	8	9
ENSMUSG00000001062.18	6	2	2	1	0	0
ENSMUSG00000001065.15	2	1	0	0	1	0
ENSMUSG00000001082.12	7	11	10	0	1	0
ENSMUSG00000001089.14	8	20	16	5	5	1
ENSMUSG00000001095.5	0	0	0	0	1	0
ENSMUSG00000001098.15	23	27	22	7	2	4
ENSMUSG00000001100.10	13	16	17	23	26	11
ENSMUSG00000001105.15	21	25	17	26	39	20
ENSMUSG00000001119.7	58	57	57	2	0	3
ENSMUSG00000001120.15	4	6	1	0	2	0
ENSMUSG00000001123.15	22	20	19	119	152	43
ENSMUSG00000001127.12	9	13	11	8	7	7
ENSMUSG00000001128.7	5	1	4	7	1	6
ENSMUSG00000001131.11	25	29	16	2	0	0
ENSMUSG00000001134.9	5	5	2	4	4	6
ENSMUSG00000001138.13	9	5	4	4	3	3
ENSMUSG00000001143.13	13	13	19	9	8	4
ENSMUSG00000001150.7	8	7	7	2	2	2
ENSMUSG00000001151.10	18	10	14	2	4	0
ENSMUSG00000001155.13	0	0	0	31	19	10
ENSMUSG00000001156.9	5	3	11	3	1	1
ENSMUSG00000001157.13	12	9	9	6	8	1
ENSMUSG00000001158.13	117	116	97	40	37	46
ENSMUSG00000001166.17	2	0	1	0	1	0
ENSMUSG00000001173.15	4	5	2	1	1	0
ENSMUSG00000001175.14	419	463	396	204	207	105
ENSMUSG00000001211.15	14	24	17	45	47	15
ENSMUSG00000001227.12	0	0	1	1	1	0
ENSMUSG00000001228.14	67	51	37	1	1	1
ENSMUSG00000001229.9	3	5	7	4	9	1
ENSMUSG00000001240.13	0	0	1	1	1	0
ENSMUSG00000001247.16	1	0	0	22	24	8
ENSMUSG00000001248.15	6	4	5	0	0	1
ENSMUSG00000001249.14	0	2	0	56	55	11
ENSMUSG00000001270.9	2	0	0	4	0	2
ENSMUSG00000001280.13	32	34	34	7	11	2
ENSMUSG00000001281.10	3	4	3	0	1	1
ENSMUSG00000001285.12	23	23	53	8	1	3
ENSMUSG00000001288.15	12	16	16	1	1	1
ENSMUSG00000001289.12	57	77	55	29	24	16
ENSMUSG00000001300.16	10	11	12	3	2	3
