gene id,GG-UMRR-ERCC-1,GG-UMRR-ERCC-2,GG-UMRR-ERCC-3,GG-LVR-ERCC-1,GG-LVR-ERCC-2,GG-LVR-ERCC-3,GG-SPL-ERCC-1,GG-SPL-ERCC-2,GG-SPL-ERCC-3,GL-LVR-ERCC-1,GL-LVR-ERCC-2,GL-LVR-ERCC-3,GL-SPL-ERCC-1,GL-SPL-ERCC-2,GL-SPL-ERCC-3,GL-UMRR-ERCC-1,GL-UMRR-ERCC-2,GL-UMRR-ERCC-3
ENSMUSG00000102693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000103025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,44,40,39,11,16,18,6,10,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000103922,5,4,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000102275,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
ENSMUSG00000104217,6,5,3,6,6,9,0,0,0,0,0.82,0.32,0,0,0,0,0,0
ENSMUSG00000062588,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091305,4,1,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090031,4,2,2,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000087247,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,1,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0
ENSMUSG00000103845,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,17,29,19,3,4,6,4,3,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
ENSMUSG00000048538,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000097797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
ENSMUSG00000103067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,10,4,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0.53,0.33
ENSMUSG00000103933,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076135,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000061024,31,32,35,5,13,9,4,5,0,0,1,0,0,0,0,2,0,3
ENSMUSG00000079671,3,6,5,0,1,1,0,0,0,0,2,0,0,0,0,2,0,2
ENSMUSG00000097893,1,0,0,3,1,3,0,0,0,0,0,0,2,1,0,4,0,1
ENSMUSG00000045210,42,46,35,35,23,40,8,11,7,10,4,4,2,0,0,15,19,8
ENSMUSG00000046334,6,10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093178,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098234,165,144,164,48,36,32,20,19,12,0,0,0,0,1,0,7,5,10
ENSMUSG00000099032,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025917,189,161,163,57,71,72,19,11,6,1,1,3,0,0,0,7,9,5
ENSMUSG00000088153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102556,5,2,3,0,0,0,2,0,2,0,0,0,0,0,0,8,2,2
ENSMUSG00000103448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103506,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ENSMUSG00000099183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102639,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103085,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000102664,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000101476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102982,1,0,1,1,3,2,1,0,0,0,6,2,0,0,0,4,1,0
ENSMUSG00000025937,52,51,60,259,203,262,6,6,11,3,10,7,0,2,0,2,9,5
ENSMUSG00000067813,0,0,0,8,12,8,2,0,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000102166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054493,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025930,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000082193,7,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032769,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
